PS.X,PS.Y,SS.X,SS.Y
1.688942588196207795e-01,2.615693689841881997e-01,1.106468288632833363e-01,1.275109950613731724e-01
1.796673060121260490e-01,2.586834145338776647e-01,1.220567339162733772e-01,1.166832749614130499e-01
1.905815461995866711e-01,2.559304371683744361e-01,1.340381356235353649e-01,1.059288086642700827e-01
2.016216108628131054e-01,2.533313030837632263e-01,1.465844850235486774e-01,9.531026876734464970e-02
2.127740572635700433e-01,2.509055649202941995e-01,1.596861703359827300e-01,8.489294764306432040e-02
2.240276702659615149e-01,2.486714395568233316e-01,1.733302485086075928e-01,7.474445970503089398e-02
2.353737626884576384e-01,2.466458347556420572e-01,1.875001860348461113e-01,6.493438318217603644e-02
2.468064680437768166e-01,2.448444357948147410e-01,2.021756126933626496e-01,5.553383114721852087e-02
2.583230159428189232e-01,2.432818642763628081e-01,2.173320955878690897e-01,4.661494005931238888e-02
2.699239754524830892e-01,2.419719214308352628e-01,2.329409462964072419e-01,3.825026349299132794e-02
2.816134453460794607e-01,2.409279267108365152e-01,2.489690810495500672e-01,3.051205986035135723e-02
2.933991628860699863e-01,2.401631583618619725e-01,2.653789622091761169e-01,2.347146681786116060e-02
3.052924955112422678e-01,2.396913950218247935e-01,2.821286578589434213e-01,1.719756277065035560e-02
3.173082742530051181e-01,2.395275455068218429e-01,2.991720632044843065e-01,1.175632829943836638e-02
3.294644262819385050e-01,2.396883377217369770e-01,3.164593300744089621e-01,7.209537597198487947e-03
3.417813695307653776e-01,2.401930181966999978e-01,3.339375459543897917e-01,3.613631006344108360e-03
3.542811474679864459e-01,2.410639938242901403e-01,3.515516887200360041e-01,1.018641613011020235e-03
3.669863081179008391e-01,2.423273314107380894e-01,3.692458559725393941e-01,-5.327332032790737734e-04
3.799185670908514223e-01,2.440130242612043310e-01,3.869647297840406175e-01,-1.005816451019598927e-03
3.930973349728867361e-01,2.461549435241536521e-01,4.046551936804322347e-01,-3.743016306880673702e-04
4.065382267929035232e-01,2.487904183934923630e-01,4.222679775475742248e-01,1.379795200537286062e-03
4.202516954909220614e-01,2.519594320851771263e-01,4.397591786585909324e-01,4.266599474183431495e-03
4.342419335921814394e-01,2.557034730224017061e-01,4.570915028710108019e-01,8.289219991478979227e-03
4.485061635077285946e-01,2.600641318845027250e-01,4.742350940370574919e-01,1.344487486633872200e-02
4.630343898216043863e-01,2.650815729696460177e-01,4.911678691477084913e-01,1.972616628916568776e-02
4.778096261420502477e-01,2.707930235014111564e-01,5.078753416359653716e-01,2.712235158316452649e-02
4.928085480412406905e-01,2.772314140566676799e-01,5.243499811685284895e-01,3.562046846747115442e-02
5.080024752298690771e-01,2.844242712258673866e-01,5.405902110972427010e-01,4.520620652931001821e-02
5.233585588699771751e-01,2.923929191705981756e-01,5.565991751741632410e-01,5.586446481237479500e-02
5.388410458770390710e-01,3.011520008703346685e-01,5.723834106793248555e-01,6.757958532416487307e-02
5.544125074434916867e-01,3.107092917309406954e-01,5.879515496009418696e-01,8.033529412254576674e-02
5.700349466150471667e-01,3.210657531306903567e-01,6.033131405923199964e-01,9.411440959534883577e-02
5.856707316931474283e-01,3.322157624208951221e-01,6.184776505572323613e-01,1.088983903211253046e-01
6.012833321247007534e-01,3.441474566722343975e-01,6.334536728065383038e-01,1.246667947354205552e-01
6.168378574515567259e-01,3.568431362346971003e-01,6.482483430675058944e-01,1.413967157749981274e-01
6.323014163519341535e-01,3.702796869503373611e-01,6.628669468638450635e-01,1.590622400261006708e-01
